variablename,sites,samples,replacement
Lycopodiaceae cf. Diphasiastrum complanatum,1,2,Lycopodiaceae cf. Diphasiastrum complanatum
Lycopodiaceae undiff.,2,3,Lycopodiaceae undiff.
Lycopodiella inundata,4,6,Lycopodiella inundata
Lycopodium,4,8,Lycopodium
Lycopodium annotinum,56,370,Lycopodium annotinum
Lycopodium annotinum-type,5,23,Lycopodium annotinum-type
Lycopodium clavatum,44,178,Lycopodium clavatum
Lycopodium clavatum-type,3,11,Lycopodium clavatum-type
Lycopodium spike,8,679,Lycopodium spike
Lycopodium tablets,5,525,Lycopodium tablets
Lycopodium undiff.,1,1,Lycopodium undiff.
Lycopus,9,27,Lycopus
Lycopus-type,11,66,Lycopus-type
Lysimachia,30,152,Lysimachia
Lysimachia cf. L. vulgaris,1,1,Lysimachia cf. L. vulgaris
Lysimachia nemorum,1,3,Lysimachia nemorum
Lysimachia nemorum-type,1,1,Lysimachia nemorum-type
Lysimachia thyrsiflora,1,1,Lysimachia thyrsiflora
Lysimachia vulgaris,7,21,Lysimachia vulgaris
Lysimachia vulgaris-type,19,142,Lysimachia vulgaris-type
Lysimachia-type,9,62,Lysimachia-type
Lythrum,19,87,Lythrum
Lythrum portula-type,3,5,Lythrum portula-type
Lythrum salicaria,9,48,Lythrum salicaria
Lythrum-type,1,20,Lythrum-type
Macrobiotus,1,2,Macrobiotus
Macrobiotus cf. M. echinogenitus,1,2,Macrobiotus cf. M. echinogenitus
Magnolia-type,1,3,Magnolia-type
Maianthemum bifolium,1,4,Maianthemum bifolium
Malus,2,2,Malus
Malus undiff.,1,1,Malus undiff.
Malus-type,1,3,Malus-type
Malva-type,1,2,Malva-type
Malvaceae,6,14,Malvaceae
Marchantiophyta,3,8,Marchantiophyta
Marrubium,1,1,Marrubium
Matricaria-type,1,20,Matricaria-type
Medicago falcata-type,1,3,Medicago falcata-type
Melampyrum,54,445,Melampyrum
Melampyrum-type,1,2,Melampyrum-type
Meliola,1,2,Meliola
Mentha,7,39,Mentha
Mentha-type,24,253,Mentha-type
Menyanthes,7,32,Menyanthes
Menyanthes trifoliata,33,264,Menyanthes trifoliata
Menyanthes trifoliata-type,2,3,Menyanthes trifoliata-type
Mercurialis,8,14,Mercurialis
Mercurialis perennis-type,2,3,Mercurialis perennis-type
Micranthes stellaris,2,15,Micranthes stellaris
Micranthes stellaris-type,5,14,Micranthes stellaris-type
Microdalyellia armigera,6,140,Microdalyellia armigera
Microrrhinum minus,1,1,Microrrhinum minus
Microthyriaceae,7,78,Microthyriaceae
Microthyrium,32,246,Microthyrium
Microthyrium microscopicum,4,18,Microthyrium microscopicum
Microthyrium undiff.,2,32,Microthyrium undiff.
Microthyrium-type,1,7,Microthyrium-type
Minuartia-type,4,7,Minuartia-type
Monactinus simplex,4,29,Monactinus simplex
Monactinus simplex var. echinulatum,2,32,Monactinus simplex var. echinulatum
Monactinus simplex var. simplex,2,47,Monactinus simplex var. simplex
Monocotyledoneae,8,41,Monocotyledoneae
Montia,4,6,Montia
Mougeotia,12,188,Mougeotia
"Mougeotia cf. M. gracillima (type 61, HdV)",1,4,"Mougeotia cf. M. gracillima (type 61, HdV)"
Mougeotia undiff.,2,2,Mougeotia undiff.
Mougeotia-type,1,1,Mougeotia-type
Muscari,1,1,Muscari
Myosotis,3,3,Myosotis
Myosotis arvensis-type,1,2,Myosotis arvensis-type
Myrica-type,1,6,Myrica-type
Myricaria germanica,1,1,Myricaria germanica
Myriophyllum,2,2,Myriophyllum
Myriophyllum alterniflorum,17,87,Myriophyllum alterniflorum
Myriophyllum cf. M. spicatum,1,19,Myriophyllum cf. M. spicatum
Myriophyllum cf. M. verticillatum,1,2,Myriophyllum cf. M. verticillatum
Myriophyllum heterophyllum,3,44,Myriophyllum heterophyllum
Myriophyllum spicatum,24,225,Myriophyllum spicatum
Myriophyllum spicatum-type,1,1,Myriophyllum spicatum-type
Myriophyllum undiff.,2,2,Myriophyllum undiff.
Myriophyllum verticillatum,16,126,Myriophyllum verticillatum
Myriophyllum verticillatum-type,6,112,Myriophyllum verticillatum-type
Nebela,5,8,Nebela
Nebela parvula,1,1,Nebela parvula
Nebela undiff.,1,1,Nebela undiff.
Neurospora,1,1,Neurospora
Normapolles,1,1,Normapolles
Nuphar,15,110,Nuphar
Nymphaea,14,135,Nymphaea
Nymphaea alba,2,62,Nymphaea alba
Nymphaea alba-type,1,5,Nymphaea alba-type
Nymphaea cf. N. candida,1,61,Nymphaea cf. N. candida
Nymphaea undiff.,1,3,Nymphaea undiff.
Nymphaeaceae,5,86,Nymphaeaceae
Nymphoides peltata-type,1,1,Nymphoides peltata-type
Nyssa,2,15,Nyssa
Odontites,2,4,Odontites
Odontites-type,3,66,Odontites-type
Oenanthe,4,16,Oenanthe
Oenanthe-type,1,1,Oenanthe-type
Oenothera,1,1,Oenothera
Olea,2,5,Olea
Oleaceae,1,1,Oleaceae
Onagraceae,1,1,Onagraceae
Onobrychis,4,25,Onobrychis
Ononis,1,1,Ononis
Ononis-type,1,1,Ononis-type
Onopordum,1,3,Onopordum
Ophioglossum,13,28,Ophioglossum
Ophioglossum vulgatum,2,3,Ophioglossum vulgatum
Orchidaceae,2,2,Orchidaceae
"Oribatida (type 396, HdV)",1,2,"Oribatida (type 396, HdV)"
Orlaya grandiflora,1,1,Orlaya grandiflora
Ornithogalum umbellatum-type,1,1,Ornithogalum umbellatum-type
Ornithogalum-type,1,5,Ornithogalum-type
Ostrya-type,1,1,Ostrya-type
Oxalis,9,13,Oxalis
Oxyria-type,2,15,Oxyria-type
Papaver,6,14,Papaver
Papaver rhoeas-type,2,3,Papaver rhoeas-type
Papaver somniferum,1,4,Papaver somniferum
Papaveraceae,10,26,Papaveraceae
Parapediastrum biradiatum,1,1,Parapediastrum biradiatum
Parnassia,4,11,Parnassia
Parnassia palustris,16,37,Parnassia palustris
Parnassia-type,1,1,Parnassia-type
Pediastrum,9,58,Pediastrum
Pediastrum angulosum,5,36,Pediastrum angulosum
Pediastrum angulosum var. angulosum,3,69,Pediastrum angulosum var. angulosum
Pediastrum angulosum var. asperum,2,2,Pediastrum angulosum var. asperum
Pediastrum braunii,1,4,Pediastrum braunii
Pediastrum duplex,10,165,Pediastrum duplex
Pediastrum duplex var. duplex,1,1,Pediastrum duplex var. duplex
Pediastrum duplex var. rugulosum,8,211,Pediastrum duplex var. rugulosum
Pediastrum muticum var. scutum,2,4,Pediastrum muticum var. scutum
Pediastrum orientale,1,37,Pediastrum orientale
Pediastrum undiff.,3,41,Pediastrum undiff.
Pedicularis,19,30,Pedicularis
Pedicularis palustris-type,1,1,Pedicularis palustris-type
Penium,1,2,Penium
Persicaria,1,2,Persicaria
Persicaria amphibia,8,11,Persicaria amphibia
Persicaria amphibia-type,2,5,Persicaria amphibia-type
Persicaria cf. P. lapathifolia,1,1,Persicaria cf. P. lapathifolia
Persicaria lapathifolia,1,1,Persicaria lapathifolia
Persicaria maculosa,13,38,Persicaria maculosa
Persicaria maculosa-type,27,69,Persicaria maculosa-type
Petasites,3,52,Petasites
Petasites hybridus-type,1,2,Petasites hybridus-type
Petasites-type,13,185,Petasites-type
Peucedanum,1,16,Peucedanum
Peucedanum palustre-type,1,25,Peucedanum palustre-type
Peucedanum-type,12,207,Peucedanum-type
Phegopteris,2,2,Phegopteris
Phegopteris connectilis,1,1,Phegopteris connectilis
Phragmites,2,22,Phragmites
Phragmites australis,2,11,Phragmites australis
Phragmites-type,5,219,Phragmites-type
Phyteuma,6,11,Phyteuma
Phyteuma-type,1,4,Phyteuma-type
Picea,74,2610,Picea
Picea abies,23,1005,Picea abies
Pilularia,1,2,Pilularia
Pimpinella anisum,1,1,Pimpinella anisum
Pimpinella major,1,11,Pimpinella major
Pimpinella major-type,12,136,Pimpinella major-type
Pimpinella major/P. saxifraga,1,4,Pimpinella major/P. saxifraga
Pinguicula,3,4,Pinguicula
Pinnularia,1,2,Pinnularia
Pinus,77,3548,Pinus
Pinus (Tertiary),1,1,Pinus (Tertiary)
Pinus cembra,6,85,Pinus cembra
Pinus cembra-type,3,9,Pinus cembra-type
Pinus sp.,1,15,Pinus sp.
Pinus subg. Pinus,3,210,Pinus subg. Pinus
Pinus subg. Strobus-type,1,27,Pinus subg. Strobus-type
Pinus sylvestris,3,99,Pinus sylvestris
Pinus sylvestris-type,2,80,Pinus sylvestris-type
Pisum sativum,4,21,Pisum sativum
Plantaginaceae,3,12,Plantaginaceae
Plantaginaceae undiff.,1,27,Plantaginaceae undiff.
Plantago,3,7,Plantago
Plantago alpina,6,26,Plantago alpina
Plantago alpina-type,3,22,Plantago alpina-type
Plantago atrata-type,1,1,Plantago atrata-type
Plantago coronopus,2,2,Plantago coronopus
Plantago lanceolata,68,1352,Plantago lanceolata
Plantago lanceolata-type,18,203,Plantago lanceolata-type
Plantago major,20,203,Plantago major
Plantago major-type,13,119,Plantago major-type
Plantago major/P. media,48,452,Plantago major/P. media
Plantago major/P. media-type,8,50,Plantago major/P. media-type
Plantago maritima-type,3,12,Plantago maritima-type
Plantago media,17,330,Plantago media
Plantago media-type,3,6,Plantago media-type
Plantago sp.,2,3,Plantago sp.
Platanus,1,1,Platanus
Platycarya,1,1,Platycarya
"Platyhelminthes (type 353A, HdV)",1,23,"Platyhelminthes (type 353A, HdV)"
"Platyhelminthes (type 353B, HdV)",2,93,"Platyhelminthes (type 353B, HdV)"
"Pleospora sp. (type 3B, HdV)",1,2,"Pleospora sp. (type 3B, HdV)"
Pleospora undiff.,1,42,Pleospora undiff.
Pleurospermum,2,2,Pleurospermum
Pleurospermum austriacum,13,22,Pleurospermum austriacum
Pleurospermum austriacum-type,1,2,Pleurospermum austriacum-type
Poaceae,86,3892,Poaceae
Poaceae (Cerealia-type excluding Secale),2,77,Poaceae (Cerealia-type excluding Secale)
Poaceae (Cerealia-type),16,148,Poaceae (Cerealia-type)
Poaceae (Cerealia),14,129,Poaceae (Cerealia)
Poaceae (Cerealia) excluding Secale,1,26,Poaceae (Cerealia) excluding Secale
Poaceae (Cerealia) undiff.,20,239,Poaceae (Cerealia) undiff.
Podocarpus-type,1,3,Podocarpus-type
"Podospora sp./Zopfiella sp. (type 466, HdV)",1,6,"Podospora sp./Zopfiella sp. (type 466, HdV)"
"Podospora-type (type 368, HdV)",1,1,"Podospora-type (type 368, HdV)"
Polemonium,9,15,Polemonium
Polemonium caeruleum,5,10,Polemonium caeruleum
Polygala,6,7,Polygala
Polygonaceae,3,5,Polygonaceae
Polygonaceae undiff.,1,2,Polygonaceae undiff.
Polygonatum,2,2,Polygonatum
Polygonum,1,1,Polygonum
Polygonum aviculare,56,402,Polygonum aviculare
Polygonum aviculare-type,8,57,Polygonum aviculare-type
Polygonum sp.,3,26,Polygonum sp.
Polypodiaceae,42,1022,Polypodiaceae
"Polypodiophyta (monolete, psilate)",1,35,"Polypodiophyta (monolete, psilate)"
"Polypodiophyta (monolete, verrucate)",1,2,"Polypodiophyta (monolete, verrucate)"
Polypodium,15,430,Polypodium
Polypodium vulgare,30,151,Polypodium vulgare
Populus,44,473,Populus
Porifera,1,1,Porifera
Potamogeton,36,460,Potamogeton
Potamogeton natans-type,1,3,Potamogeton natans-type
Potamogeton-type,12,163,Potamogeton-type
Potentilla,9,132,Potentilla
Potentilla-type,27,496,Potentilla-type
Potentilla/Comarum,9,105,Potentilla/Comarum
Potentilla/Comarum-type,11,85,Potentilla/Comarum-type
Potentilla/Fragaria,1,6,Potentilla/Fragaria
Poterium sanguisorba,12,14,Poterium sanguisorba
Poterium sanguisorba subsp. sanguisorba,2,5,Poterium sanguisorba subsp. sanguisorba
Primula,4,11,Primula
Primula clusiana-type,1,1,Primula clusiana-type
Primula farinosa-type,1,2,Primula farinosa-type
Primula veris-type,4,12,Primula veris-type
Primulaceae,2,3,Primulaceae
Prunella-type,1,1,Prunella-type
Prunus,6,19,Prunus
Prunus sp.,1,1,Prunus sp.
Prunus-type,13,52,Prunus-type
Pseudopediastrum boryanum,13,208,Pseudopediastrum boryanum
Pseudopediastrum boryanum var. boryanum,5,58,Pseudopediastrum boryanum var. boryanum
Pseudopediastrum boryanum var. boryanum sensu lato,5,211,Pseudopediastrum boryanum var. boryanum sensu lato
Pseudopediastrum boryanum var. cornutum,8,150,Pseudopediastrum boryanum var. cornutum
Pseudopediastrum boryanum var. longicorne,9,253,Pseudopediastrum boryanum var. longicorne
Pseudopediastrum brevicorne,3,6,Pseudopediastrum brevicorne
Pseudopediastrum integrum,11,297,Pseudopediastrum integrum
Pseudopediastrum kawraiskyi,6,36,Pseudopediastrum kawraiskyi
Pteridium,22,85,Pteridium
Pteridium aquilinum,46,517,Pteridium aquilinum
Pteridophyta,3,81,Pteridophyta
"Pteridophyta (monolete, verrucate)",2,8,"Pteridophyta (monolete, verrucate)"
Pteridophyta (monolete) undiff.,5,255,Pteridophyta (monolete) undiff.
Pterocarya,3,12,Pterocarya
Pterocarya fraxinifolia,1,2,Pterocarya fraxinifolia
Pulmonaria,1,1,Pulmonaria
Pulmonaria-type,6,9,Pulmonaria-type
Pyrola,1,1,Pyrola
Pyxidicula,1,2,Pyxidicula
Quercus,85,3128,Quercus
Quercus coccifera,2,24,Quercus coccifera
Quercus pubescens,1,14,Quercus pubescens
Ranunculaceae,57,1409,Ranunculaceae
Ranunculaceae undiff.,4,129,Ranunculaceae
Ranunculus,1,24,Ranunculaceae
Ranunculus acris-type,20,445,Ranunculaceae
Ranunculus acris/R. flammula/R. sceleratus group,1,16,Ranunculaceae
Ranunculus aquatilis-type,1,3,Ranunculaceae
Ranunculus arvensis,4,4,Ranunculaceae
Ranunculus arvensis-type,1,16,Ranunculaceae
Ranunculus flammula-type,1,9,Ranunculaceae
Ranunculus sect. Batrachium,13,155,Ranunculaceae
Ranunculus sect. Batrachium-type,4,17,Ranunculaceae
Ranunculus-type,31,417,Ranunculaceae
Reseda,1,2,Reseda
Reseda lutea-type,1,1,Reseda lutea-type
Rhabdocoela,3,71,Rhabdocoela
"Rhabdocoela (type 353, HdV)",1,10,"Rhabdocoela (type 353, HdV)"
Rhamnaceae,1,1,Rhamnaceae
Rhamnus,11,39,Rhamnus
Rhinanthus,9,51,Rhinanthus
Rhinanthus-type,2,5,Rhinanthus-type
Rhinanthus/Veronica,1,6,Rhinanthus/Veronica
Rhizopoda,4,26,Rhizopoda
Rhizopoda undiff.,5,31,Rhizopoda undiff.
Rhododendron,1,1,Rhododendron
Rhododendron subsect. Ledum,3,12,Rhododendron subsect. Ledum
Rhododendron tomentosum,4,30,Rhododendron tomentosum
Rhus-type,1,3,Rhus-type
Ribes,16,57,Ribes
Ribes alpinum,1,2,Ribes
Ribes uva-crispa,1,1,Ribes
Riccia,3,3,Riccia
Rivularia,1,7,Rivularia
Rosa,6,24,Rosa
Rosa-type,1,3,Rosa-type
Rosaceae,65,787,Rosaceae
Rosaceae undiff.,3,45,Rosaceae undiff.
Rotifera undiff.,1,6,Rotifera undiff.
Rotifera/Tardigrada,1,1,Rotifera/Tardigrada
Rubiaceae,56,1248,Rubiaceae
Rubus,12,37,Rubus
Rubus chamaemorus,1,7,Rubus
Rumex,36,610,Rumex
Rumex acetosa,10,86,Rumex
Rumex acetosa-type,41,874,Rumex
Rumex acetosa/R. acetosella,1,29,Rumex
Rumex acetosella,20,252,Rumex
Rumex acetosella-type,9,172,Rumex
Rumex aquaticus-type,1,3,Rumex
Rumex cf. R. alpinus,1,1,Rumex
Rumex maritimus-type,1,1,Rumex
Rumex obtusifolius,3,6,Rumex
Rumex obtusifolius-type,4,12,Rumex
Rumex subg. Rumex,2,2,Rumex
Rumex undiff.,4,35,Rumex
Rumex-type,2,3,Rumex
Rumex/Oxyria-type,1,1,Rumex
Sagina,3,4,Sagina
Sagina procumbens-type,1,1,Sagina procumbens-type
Sagina-type,2,2,Sagina-type
Sagittaria,4,5,Sagittaria
Sagittaria-type,1,1,Sagittaria-type
Salix,86,2878,Salix
Salix herbacea-type,2,20,Salix herbacea-type
Salvia,1,1,Salvia
Sambucus,13,31,Sambucus
Sambucus cf. S. ebulus,1,1,Sambucus
Sambucus cf. S. nigra,6,40,Sambucus
Sambucus cf. S. racemosa,4,10,Sambucus
Sambucus ebulus,5,10,Sambucus
Sambucus nigra,18,121,Sambucus
Sambucus nigra-type,10,63,Sambucus
Sambucus nigra/S. racemosa,1,4,Sambucus
Sambucus racemosa,12,30,Sambucus
Samolus valerandi,1,1,Samolus valerandi
Sample quantity,6,368,Sample quantity
Sanguisorba minor-type,1,5,Sanguisorba minor-type
Sanguisorba officinalis,50,183,Sanguisorba officinalis
Sanicula europaea,1,1,Sanicula europaea
Sanicula-type,1,1,Sanicula-type
Saussurea-type,1,1,Saussurea-type
Saxifraga,3,6,Saxifraga
Saxifraga aizoides-type,2,2,Saxifraga aizoides-type
Saxifraga granulata,1,5,Saxifraga granulata
Saxifraga granulata-type,3,7,Saxifraga granulata-type
Saxifraga hirculus-type,1,3,Saxifraga hirculus-type
Saxifraga oppositifolia,1,2,Saxifraga oppositifolia
Saxifraga oppositifolia-type,4,11,Saxifraga oppositifolia-type
Saxifraga undiff.,2,2,Saxifraga undiff.
Saxifragaceae,13,42,Saxifragaceae
Saxifragaceae undiff.,1,3,Saxifragaceae undiff.
Scabiosa,9,12,Scabiosa
Scabiosa columbaria subsp. pratensis-type,1,2,Scabiosa columbaria subsp. pratensis-type
Scabiosa columbaria-type,1,1,Scabiosa columbaria-type
Scandix pecten-veneris/Caucalis platycarpos,1,1,Scandix pecten-veneris/Caucalis platycarpos
Scenedesmus,11,225,Scenedesmus
Scenedesmus undiff.,2,7,Scenedesmus undiff.
Scheuchzeria,6,32,Scheuchzeria
Scheuchzeria palustris,6,30,Scheuchzeria palustris
Sciadopitys,2,18,Sciadopitys
Sciadopitys-type,1,3,Sciadopitys-type
Scilla-type,1,1,Scilla-type
Scleranthus,4,10,Scleranthus
Scleranthus annuus,3,6,Scleranthus annuus
Scleranthus annuus-type,2,3,Scleranthus annuus-type
Scleranthus cf. S. annuus,1,2,Scleranthus cf. S. annuus
Scleranthus cf. S. perennis,1,2,Scleranthus cf. S. perennis
Scleranthus perennis,1,2,Scleranthus perennis
Scleranthus perennis-type,1,1,Scleranthus perennis-type
Scleranthus-type,5,11,Scleranthus-type
Scrophularia,3,8,Scrophularia
Scrophularia-type,3,7,Scrophularia-type
Scrophulariaceae,14,40,Scrophulariaceae
Scutellaria,1,3,Scutellaria
Secale,35,467,Secale
Secale cereale,32,408,Secale cereale
Secale-type,16,136,Secale-type
Securigera varia,1,1,Securigera varia
Sedum,13,43,Sedum
Sedum-type,2,2,Sedum-type
Selaginella,3,5,Selaginella
Selaginella selaginoides,19,73,Selaginella selaginoides
Selaginellaceae,1,1,Selaginellaceae
Senecio,1,1,Senecio
Senecio-type,12,38,Senecio-type
Senecio/Aster,1,10,Senecio/Aster
Sequoia,1,4,Sequoia
Serratula,1,4,Serratula
Serratula-type,1,1,Serratula-type
Seseli-type,1,1,Seseli-type
Sigmopollis,1,2,Sigmopollis
Silene,3,7,Silene
Silene dioica-type,8,18,Silene dioica-type
Silene flos-cuculi,8,65,Silene flos-cuculi
Silene latifolia,1,1,Silene latifolia
Silene viscaria-type,1,1,Silene viscaria-type
Silene vulgaris,1,1,Silene vulgaris
Silene vulgaris-type,8,19,Silene vulgaris-type
Silene-type,23,126,Silene-type
Silene-type undiff.,1,1,Silene-type undiff.
Sileneae,28,275,Sileneae
Silenoideae-type,12,82,Silenoideae-type
Sinapis-type,1,2,Sinapis-type
Sium latifolium-type,1,2,Sium latifolium-type
Solanaceae,1,2,Solanaceae
Solanum,1,1,Solanum
Solanum cf. S. nigrum,1,1,Solanum cf. S. nigrum
Solanum dulcamara,9,57,Solanum dulcamara
Solanum nigrum,1,3,Solanum nigrum
Solanum nigrum-type,6,14,Solanum nigrum-type
Soldanella,1,1,Soldanella
Sorbus,24,81,Sorbus
Sorbus aria-type,1,2,Sorbus aria-type
Sorbus aucuparia,2,7,Sorbus aucuparia
Sorbus group,1,2,Sorbus group
Sorbus torminalis,2,2,Sorbus torminalis
Sorbus-type,8,80,Sorbus-type
"Sordaria-type (type 55A, HdV)",3,8,"Sordaria-type (type 55A, HdV)"
Sordariaceae,1,26,Sordariaceae
"Sordariaceae/Sordaria (type 55B, HdV)",1,2,"Sordariaceae/Sordaria (type 55B, HdV)"
Sparganium,12,111,Sparganium
Sparganium erectum,2,19,Sparganium erectum
Sparganium-type,8,181,Sparganium-type
Spergula,2,8,Spergula
Spergula-type,1,1,Spergula-type
Spergularia-type,1,1,Spergularia-type
Sphagnum,77,2145,Sphagnum
Spirogyra,7,81,Spirogyra
Spirogyra cf. S. scrobiculata,1,3,Spirogyra cf. S. scrobiculata
Spirogyra-type,3,5,Spirogyra-type
Sporormiella,2,35,Sporormiella
"Sporormiella (type 113, HdV)",1,10,"Sporormiella (type 113, HdV)"
Stachys,5,12,Stachys
Stachys-type,4,10,Stachys-type
Staurastrum,6,38,Staurastrum
Staurastrum undiff.,1,1,Staurastrum undiff.
Stauridium tetras,2,14,Stauridium tetras
Stellaria,2,10,Stellaria
Stellaria holostea,3,6,Stellaria holostea
Stellaria-type,2,4,Stellaria-type
Stratiotes aloides,3,3,Stratiotes aloides
Succisa,15,40,Succisa
Succisa pratensis,8,9,Succisa pratensis
Succisa-type,1,2,Succisa-type
Succisella,1,1,Succisella
Swertia perennis,2,2,Swertia perennis
Symphytum,21,43,Symphytum
Symphytum cf. S. officinale,1,7,Symphytum cf. S. officinale
Symphytum-type,2,4,Symphytum-type
Symplocos,1,1,Symplocos
Tardigrada,2,13,Tardigrada
"Tardigrada (type 902, HdV)",1,1,"Tardigrada (type 902, HdV)"
Tardigrada undiff.,1,3,Tardigrada undiff.
Taxus,1,2,Taxus
Taxus baccata,2,10,Taxus baccata
Tetraëdron,7,137,Tetraëdron
Tetraëdron minimum,9,138,Tetraëdron minimum
Tetraploa scheueri,1,2,Tetraploa scheueri
Teucrium,3,16,Teucrium
Thalictrum,75,1446,Thalictrum
Thalictrum-type,3,4,Thalictrum-type
Thecaphora,4,18,Thecaphora
Thelypteris,1,3,Thelypteris
Thelypteris palustris,7,60,Thelypteris palustris
Thesium,4,11,Thesium
Thesium-type,1,1,Thesium-type
Tilia,79,2445,Tilia
Tilia cordata,9,144,Tilia cordata
Tilia platyphyllos,10,106,Tilia platyphyllos
Tilia undiff.,4,50,Tilia undiff.
Tilletia sphagni,12,92,Tilletia sphagni
"Tilletia sphagni (type 27, HdV)",1,28,"Tilletia sphagni (type 27, HdV)"
Tofieldia,1,1,Tofieldia
Transeauina,1,1,Transeauina
"Transeauina (type 214, HdV)",1,1,"Transeauina (type 214, HdV)"
Transeauina undiff.,3,8,Transeauina undiff.
Trapa,1,3,Trapa
Trapa natans,3,28,Trapa natans
"Trichocladium opacum (type 10, HdV)",2,14,"Trichocladium opacum (type 10, HdV)"
Trichuris trichiura,2,6,Trichuris trichiura
Trientalis,1,1,Trientalis
Trientalis europaea,2,3,Trientalis europaea
Trifolium,6,13,Trifolium
Trifolium pratense,6,20,Trifolium pratense
Trifolium pratense-type,22,85,Trifolium pratense-type
Trifolium repens-type,11,29,Trifolium repens-type
Trifolium-type,22,178,Trifolium-type
Triglochin,3,12,Triglochin
Triticum,27,291,Triticum
Triticum-type,27,225,Triticum-type
Trochiscia undiff.,1,5,Trochiscia undiff.
Trollius,5,16,Trollius
Trollius europaeus,11,27,Trollius europaeus
Trollius-type,1,1,Trollius-type
Tsuga,4,21,Tsuga
Tsuga diversifolia-type,1,1,Tsuga diversifolia-type
Tsuga-type,1,7,Tsuga-type
Turgenia latifolia,1,1,Turgenia latifolia
Typha,1,2,Typha
Typha angustifolia,8,42,Typha angustifolia
Typha angustifolia-type,1,2,Typha angustifolia-type
Typha angustifolia/Sparganium,33,358,Typha angustifolia/Sparganium
Typha angustifolia/Sparganium-type,10,50,Typha angustifolia/Sparganium-type
Typha latifolia,41,378,Typha latifolia
Typha latifolia-type,13,254,Typha latifolia-type
Typhaceae,1,1,Typhaceae
Ulex-type,1,1,Ulex-type
Ulmus,85,2862,Ulmus
Ulmus/Zelkova,1,3,Ulmus/Zelkova
Umbilicus rupestris-type,1,3,Umbilicus rupestris-type
Unknown,24,741,Unknown
Unknown (Cretaceous),1,6,Unknown (Cretaceous)
"Unknown (monolete, psilate)",2,178,"Unknown (monolete, psilate)"
Unknown (monolete),14,628,Unknown (monolete)
Unknown (monolete) undiff.,5,150,Unknown (monolete) undiff.
Unknown (pre-Quaternary),2,25,Unknown (pre-Quaternary)
Unknown (Tertiary),5,153,Unknown (Tertiary)
Unknown (trilete),1,5,Unknown (trilete)
Unknown (trilete) undiff.,7,60,Unknown (trilete) undiff.
"Unknown (type 160, HdV)",1,5,"Unknown (type 160, HdV)"
"Unknown (type 181, HdV)",1,4,"Unknown (type 181, HdV)"
"Unknown (type 224, HdV)",1,4,"Unknown (type 224, HdV)"
"Unknown (type 33, HdV)",2,19,"Unknown (type 33, HdV)"
"Unknown (type 366, HdV)",1,6,"Unknown (type 366, HdV)"
"Unknown (type 38, HdV)",2,2,"Unknown (type 38, HdV)"
"Unknown (type 41, HdV)",2,17,"Unknown (type 41, HdV)"
"Unknown (type 708, HdV)",1,8,"Unknown (type 708, HdV)"
"Unknown (type 74, HdV)",1,2,"Unknown (type 74, HdV)"
"Unknown (type 86, HdV)",2,2,"Unknown (type 86, HdV)"
"Unknown (type 91, HdV)",2,9,"Unknown (type 91, HdV)"
Urtica,71,1140,Urtica
Ustulina deusta,5,94,Ustulina deusta
"Ustulina deusta (type 44, HdV)",1,23,"Ustulina deusta (type 44, HdV)"
Utricularia,17,65,Utricularia
Vaccinioideae,11,95,Vaccinioideae
Vaccinium,22,304,Vaccinium
Vaccinium oxycoccos,5,37,Vaccinium oxycoccos
Vaccinium-type,37,362,Vaccinium-type
Valeriana,30,170,Valeriana
Valeriana cf. V. dioica,1,2,Valeriana cf. V. dioica
Valeriana cf. V. officinalis,3,16,Valeriana cf. V. officinalis
Valeriana dioica,1,2,Valeriana dioica
Valeriana dioica-type,8,24,Valeriana dioica-type
Valeriana officinalis,20,96,Valeriana officinalis
Valeriana officinalis-type,8,28,Valeriana officinalis-type
Valerianella,2,6,Valerianella
Varia,57,2165,Varia
Veratrum,5,9,Veratrum
Veratrum album,1,1,Veratrum album
Veratrum-type,2,18,Veratrum-type
Verbascum,9,18,Verbascum
Vermes,1,1,Vermes
Veronica,9,42,Veronica
Veronica beccabunga,1,8,Veronica beccabunga
Veronica beccabunga-type,2,4,Veronica beccabunga-type
Veronica-type,4,23,Veronica-type
Viburnum,10,27,Viburnum
Viburnum cf. V. opulus,1,1,Viburnum cf. V. opulus
Viburnum lantana,2,4,Viburnum lantana
Viburnum opulus,5,29,Viburnum opulus
Viburnum opulus-type,1,4,Viburnum opulus-type
Viburnum undiff.,1,2,Viburnum undiff.
Vicia,1,10,Vicia
Vicia cracca-type,1,1,Vicia cracca-type
Vicia-type,24,115,Vicia-type
Vicia/Lathyrus,1,11,Vicia/Lathyrus
Vicia/Lathyrus-type,1,3,Vicia/Lathyrus-type
Viola,13,27,Viola
Viola canina-type,1,1,Viola canina-type
Viola palustris,5,10,Viola palustris
Viola palustris-type,5,10,Viola palustris-type
Viola tricolor,1,1,Viola tricolor
Viscum,47,164,Viscum
Vitis,9,13,Vitis
Vitis vinifera,2,3,Vitis vinifera
Xanthium,3,10,Xanthium
Xanthium-type,1,26,Xanthium-type
Xylariaceae,1,4,Xylariaceae
"Xylomyces chlamydosporis/X. aquaticus (type 201, HdV)",3,17,"Xylomyces chlamydosporis/X. aquaticus (type 201, HdV)"
Zea mays,5,7,Zea mays
Zygnema,3,20,Zygnema
Zygnema-type,5,25,Zygnema-type
